"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000060962",5.38701636153584,-1.02006637147621,1.61417686312072,-0.631942133964239,0.527424689943388,NA
"ENSMUSG00000118675",0.0738160088199458,0,4.40735632396697,0,1,NA
"ENSMUSG00000005800",0.257548255044864,0,4.40735632394296,0,1,NA
"ENSMUSG00000105120",1.45816913922038,0.57262114889176,1.32354956569625,0.432640502277324,0.665275960266569,NA
"ENSMUSG00000103630",1.09655993541415,-1.03464433467113,1.95380102466313,-0.52955460746036,0.596420773664165,NA
"ENSMUSG00000084607",1.92488479554721,0.715721418782364,1.99774884683907,0.358263962917467,0.720145784033459,NA
"ENSMUSG00000026931",0.224209042254946,0,4.40735632394576,0,1,NA
"ENSMUSG00000026938",4.66410105871812,-0.734432793644205,1.04804709499886,-0.700763159545806,0.48345083263221,NA
"ENSMUSG00000073902",1.29949074446904,-0.228896850309284,1.66933378357863,-0.137118683250145,0.890936984854845,NA
"ENSMUSG00000076119",1.08237725945957,-0.165207471957113,1.51996100249016,-0.10869191491522,0.913446854824403,NA
"ENSMUSG00000113778",0.865062581781052,2.22273558670601,2.55548685946379,0.86978948002589,0.384415461563761,NA
"ENSMUSG00000112086",0.433275018173664,-1.97950008411606,4.37135772144408,-0.452834155943232,0.650668166648526,NA
"ENSMUSG00000028575",1.09301813406684,-0.848283091987908,4.0185411956466,-0.211092297101963,0.832815250829822,NA
"ENSMUSG00000046523",1.4229810196766,-1.00910591518358,3.31728042023811,-0.304196747741677,0.760978002437956,NA
"ENSMUSG00000102471",0.0738160088199458,0,4.40735632396697,0,1,NA
"ENSMUSG00000102474",0.578922537720473,1.0841835639322,4.25438186209224,0.254839269035199,0.798847244025181,NA
"ENSMUSG00000102475",0.140531613152853,1.51289402337788,4.38432068916708,0.345069197861367,0.730042349383905,NA
"ENSMUSG00000114507",0.482244539813181,1.84495279113035,4.35647983429486,0.423496231201761,0.671933247702294,NA
"ENSMUSG00000077449",0.144081815396372,0.798125500346329,4.40735632396697,0.181089397289292,0.8562974067477,NA
"ENSMUSG00000077440",0.998196074604697,-0.165103280824909,1.52833260278626,-0.108028370607231,0.913973187407236,NA
"ENSMUSG00000032691",4.93555985080238,1.22195242440422,1.31038568032126,0.932513566620052,0.351071178791173,NA
"ENSMUSG00000044966",1.5925646815639,3.27082248724593,2.17004225320873,1.50726212008524,0.131743482993828,NA
"ENSMUSG00000087233",1.19475579557894,2.6335093571511,2.28299826867792,1.1535310356044,0.248692486506055,NA
"ENSMUSG00000087235",0.397418877521352,-0.163642187013466,3.99883515951296,-0.0409224637890292,0.967357708931702,NA
"ENSMUSG00000087236",2.21448026459837,0,4.40735632392489,0,1,NA
"ENSMUSG00000045381",1.29698101428978,-4.01770917199107,2.65120524684905,-1.51542743692368,0.129664193543069,NA
"ENSMUSG00000114529",0.859098994256695,-0.0548150906099054,2.31565769069767,-0.0236714998205933,0.981114639482085,NA
"ENSMUSG00000114526",0.962175434141141,-2.04708845904255,2.87818765146195,-0.711242179780303,0.47693417472779,NA
"ENSMUSG00000044387",1.52596780247231,0.016259566187856,2.89506560886723,0.00561630318085191,0.995518861961209,NA
"ENSMUSG00000065280",0.998196074604697,-0.165103280824909,1.52833260278626,-0.108028370607231,0.913973187407236,NA
"ENSMUSG00000079457",3.06097785049868,-1.31744202382909,1.0162819929427,-1.29633510480134,0.194860059216203,NA
"ENSMUSG00000079451",0.0929950100912674,-1.12541183786747,4.40735632396697,-0.255348502626742,0.798453941529182,NA
"ENSMUSG00000086540",0.480011218802919,0,4.40735632393338,0,1,NA
"ENSMUSG00000102664",1.64524466022089,0.0290037682192182,1.3653809203343,0.0212422539287549,0.983052408116292,NA
"ENSMUSG00000027654",5.16848240006276,0.610241871833312,1.0905666303336,0.559564042085754,0.575776837211532,NA
"ENSMUSG00000027656",1.76544802153078,2.27007786552588,3.03742387444238,0.747369468129513,0.454840570012569,NA
"ENSMUSG00000079604",1.23557372080361,4.62219510355614,4.2632057491387,1.08420643420505,0.278273279483636,NA
